cluster_id,x,y,t,R,G,B,A,Gx,Gy
0,16.550135501355015,9.29539295392954,22.57181571815718,0.01999043519846963,0.01999043519846963,0.01999043519846963,1.0,38.85365853658537,-0.5542005420054199
1,6.274691358024697,10.842592592592593,51.44444444444444,0.8038126361655774,0.8038126361655774,0.8038126361655774,1.0,-0.11574074074074105,-1.4537037037037037
2,17.923501577287055,19.227129337539427,12.263406940063064,0.014399703098905273,0.014399703098905273,0.014399703098905273,1.0,-0.09739747634069423,0.07294952681388019
3,2.078332280480092,7.081490840176864,91.31585596967784,0.01470526302751056,0.01470526302751056,0.01470526302751056,1.0,0.44472520530638004,-0.14971572962728974
4,18.88421052631579,14.003508771929825,82.72280701754386,0.01926384588923287,0.01926384588923287,0.01926384588923287,1.0,-0.4596491228070174,34.76315789473685
5,7.98913043478261,12.01086956521739,57.15942028985507,0.015672065927820403,0.015672065927820403,0.015672065927820403,1.0,-112.23731884057972,-1.0380434782608694
6,18.3943661971831,11.346478873239437,81.34647887323943,0.02315382491024577,0.02315382491024577,0.02315382491024577,1.0,0.6225352112676057,-106.64788732394366
7,2.1046741277155867,20.76563528637262,27.252797893350895,0.01571983632162552,0.01571983632162552,0.01571983632162552,1.0,0.06846609611586608,-0.017445687952600472
8,17.539682539682538,16.742857142857144,47.647619047619045,0.01906006847183314,0.01906006847183314,0.01906006847183314,1.0,111.9920634920635,-1.019047619047619
9,8.597113650030069,2.0138304269392755,74.27720986169574,0.015372643344770343,0.015372643344770343,0.015372643344770343,1.0,0.18911605532170817,-0.12417318099819608
10,17.495652173913037,2.0695652173913075,41.84584980237153,0.015779276137332487,0.015779276137332487,0.015779276137332487,1.0,-0.1150197628458495,0.02766798418972327
11,8.17624521072797,8.333333333333336,70.64367816091954,0.42669972203440754,0.42669972203440754,0.42669972203440754,1.0,-0.026819923371647666,-0.11302681992337173
12,19.927007299270073,13.08029197080292,50.11678832116788,0.8140260483755546,0.8140260483755546,0.8140260483755546,1.0,110.82846715328466,-1.2189781021897808
13,8.211830535571544,25.178257394084767,61.74500399680255,0.01532264384570782,0.01532264384570782,0.01532264384570782,1.0,0.05875299760191848,-0.31734612310151905
14,21.09014675052411,4.142557651991606,81.08595387840671,0.07455913182883211,0.07455913182883211,0.07455913182883211,1.0,-0.17610062893081763,-0.8710691823899372
15,18.638121546961326,6.6823204419889475,15.284530386740329,0.01993283501245799,0.01993283501245799,0.01993283501245799,1.0,0.04972375690607747,49.715469613259664
16,10.19828722002635,2.05138339920949,25.702898550724637,0.013464568963290263,0.013464568963290263,0.013464568963290263,1.0,-0.14426877470355676,0.08366271409749688
17,20.802139037433143,9.18449197860962,13.663101604278076,0.8427807486631016,0.8427807486631016,0.8427807486631016,1.0,-1.147058823529412,1.0454545454545454
18,13.947643979057592,5.010471204188475,48.596858638743456,0.9040755569243407,0.9040755569243407,0.9040755569243407,1.0,0.43455497382198993,108.33507853403141
19,24.144756277695706,13.48818316100443,38.063515509601174,0.016030932313841395,0.016030932313841395,0.016030932313841395,1.0,-0.4098966026587887,-0.05059084194977845
20,9.532394366197181,11.414084507042254,16.132394366197182,0.01816072908036452,0.01816072908036452,0.01816072908036452,1.0,-1.9042253521126762,-75.18732394366195
21,7.163934426229511,14.352459016393443,26.524590163934413,0.8901639344262291,0.8901639344262291,0.8901639344262291,1.0,-109.5860655737705,3.1290983606557377
22,24.76971388695044,5.468946266573617,8.35519888346127,0.014285127868314207,0.014285127868314207,0.014285127868314207,1.0,-0.00802512212142334,0.07606420097697138
