pixel_id,x,y,t,R,G,B,A,Gx,Gy
0,0.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,2.0
1,1.0,0.0,29.0,0.0,0.0,0.0,1.0,11.5,0.0
2,2.0,0.0,29.0,0.0901960784313725,0.0901960784313725,0.0901960784313725,1.0,1.0,-23.0
3,3.0,0.0,29.0,0.0078431372549019,0.0078431372549019,0.0078431372549019,1.0,-11.5,-2.0
4,4.0,0.0,29.0,0.0,0.0,0.0,1.0,2.5,0.0
5,5.0,0.0,29.0,0.0274509803921568,0.0274509803921568,0.0274509803921568,1.0,4.5,-1.0
6,6.0,0.0,29.0,0.0352941176470588,0.0352941176470588,0.0352941176470588,1.0,-3.0,-9.0
7,7.0,0.0,29.0,0.0039215686274509,0.0039215686274509,0.0039215686274509,1.0,-3.0,8.0
8,8.0,0.0,29.0,0.0117647058823529,0.0117647058823529,0.0117647058823529,1.0,1.5,-3.0
9,9.0,0.0,29.0,0.0156862745098039,0.0156862745098039,0.0156862745098039,1.0,5.5,-4.0
10,10.0,0.0,29.0,0.0549019607843137,0.0549019607843137,0.0549019607843137,1.0,0.0,-10.0
11,11.0,0.0,29.0,0.0156862745098039,0.0156862745098039,0.0156862745098039,1.0,-5.5,-4.0
12,12.0,0.0,29.0,0.0117647058823529,0.0117647058823529,0.0117647058823529,1.0,-2.0,14.0
13,13.0,0.0,29.0,0.0,0.0,0.0,1.0,-1.5,7.0
14,14.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,14.0
15,15.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,12.0
16,16.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,11.0
17,17.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,2.0
18,18.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0
19,19.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,4.0
20,20.0,0.0,29.0,0.0,0.0,0.0,1.0,5.5,8.0
21,21.0,0.0,29.0,0.0431372549019607,0.0431372549019607,0.0431372549019607,1.0,0.0,-11.0
22,22.0,0.0,29.0,0.0,0.0,0.0,1.0,-5.5,0.0
23,23.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0
24,24.0,0.0,29.0,0.0,0.0,0.0,1.0,1.0,9.0
25,25.0,0.0,29.0,0.0078431372549019,0.0078431372549019,0.0078431372549019,1.0,3.5,-2.0
26,26.0,0.0,29.0,0.0274509803921568,0.0274509803921568,0.0274509803921568,1.0,2.0,-7.0
27,27.0,0.0,29.0,0.0235294117647058,0.0235294117647058,0.0235294117647058,1.0,-1.0,-6.0
28,0.0,1.0,29.0,0.0078431372549019,0.0078431372549019,0.0078431372549019,1.0,-2.0,7.0
29,1.0,1.0,29.0,0.0,0.0,0.0,1.0,-1.0,0.0
30,2.0,1.0,29.0,0.0,0.0,0.0,1.0,0.0,-11.5
31,3.0,1.0,29.0,0.0,0.0,0.0,1.0,0.0,1.0
32,4.0,1.0,29.0,0.0,0.0,0.0,1.0,3.0,0.0
33,5.0,1.0,29.0,0.0235294117647058,0.0235294117647058,0.0235294117647058,1.0,0.0,-2.5
34,6.0,1.0,29.0,0.0,0.0,0.0,1.0,1.5,-3.0
35,7.0,1.0,29.0,0.0352941176470588,0.0352941176470588,0.0352941176470588,1.0,0.0,0.0
36,8.0,1.0,29.0,0.0,0.0,0.0,1.0,-4.5,-1.5
37,9.0,1.0,29.0,0.0,0.0,0.0,1.0,2.0,-2.0
38,10.0,1.0,29.0,0.0156862745098039,0.0156862745098039,0.0156862745098039,1.0,0.0,-7.0
39,11.0,1.0,29.0,0.0,0.0,0.0,1.0,6.5,-2.0
40,12.0,1.0,29.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,1.0,3.5,0.5
41,13.0,1.0,29.0,0.0274509803921568,0.0274509803921568,0.0274509803921568,1.0,-1.5,0.0
42,14.0,1.0,29.0,0.0549019607843137,0.0549019607843137,0.0549019607843137,1.0,2.5,122.5
43,15.0,1.0,29.0,0.0470588235294117,0.0470588235294117,0.0470588235294117,1.0,-1.5,8.0
44,16.0,1.0,29.0,0.0431372549019607,0.0431372549019607,0.0431372549019607,1.0,-5.0,7.5
45,17.0,1.0,29.0,0.0078431372549019,0.0078431372549019,0.0078431372549019,1.0,-5.5,1.0
46,18.0,1.0,29.0,0.0,0.0,0.0,1.0,1.0,6.0
47,19.0,1.0,29.0,0.0156862745098039,0.0156862745098039,0.0156862745098039,1.0,4.0,2.5
48,20.0,1.0,29.0,0.0313725490196078,0.0313725490196078,0.0313725490196078,1.0,-2.0,0.0
49,21.0,1.0,29.0,0.0,0.0,0.0,1.0,-4.0,-5.5
50,22.0,1.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0
51,23.0,1.0,29.0,0.0,0.0,0.0,1.0,4.5,0.0
52,24.0,1.0,29.0,0.0352941176470588,0.0352941176470588,0.0352941176470588,1.0,0.0,2.5
53,25.0,1.0,29.0,0.0,0.0,0.0,1.0,-4.5,-1.0
54,26.0,1.0,29.0,0.0,0.0,0.0,1.0,0.0,-3.5
55,27.0,1.0,29.0,0.0,0.0,0.0,1.0,0.0,-3.0
56,0.0,2.0,29.0,0.0549019607843137,0.0549019607843137,0.0549019607843137,1.0,-14.0,-1.0
57,1.0,2.0,29.0,0.0,0.0,0.0,1.0,-7.0,0.0
58,2.0,2.0,29.0,0.0,0.0,0.0,1.0,2.0,0.0
59,3.0,2.0,29.0,0.0156862745098039,0.0156862745098039,0.0156862745098039,1.0,0.0,0.0
60,4.0,2.0,29.0,0.0,0.0,0.0,1.0,-1.0,4.0
61,5.0,2.0,29.0,0.0078431372549019,0.0078431372549019,0.0078431372549019,1.0,1.5,-3.0
62,6.0,2.0,29.0,0.0117647058823529,0.0117647058823529,0.0117647058823529,1.0,-0.5,3.0
63,7.0,2.0,29.0,0.0039215686274509,0.0039215686274509,0.0039215686274509,1.0,-1.5,-1.5
64,8.0,2.0,29.0,0.0,0.0,0.0,1.0,-0.5,0.0
65,9.0,2.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0
66,10.0,2.0,29.0,0.0,0.0,0.0,1.0,0.0,104.5
67,11.0,2.0,29.0,0.0,0.0,0.0,1.0,2.0,100.5
68,12.0,2.0,29.0,0.0156862745098039,0.0156862745098039,0.0156862745098039,1.0,0.0,119.0
69,13.0,2.0,29.0,0.0,0.0,0.0,1.0,120.5,114.5
70,14.0,2.0,29.0,0.9607843137254902,0.9607843137254902,0.9607843137254902,1.0,8.0,115.0
71,15.0,2.0,29.0,0.0627450980392156,0.0627450980392156,0.0627450980392156,1.0,-115.0,106.0
72,16.0,2.0,29.0,0.0588235294117647,0.0588235294117647,0.0588235294117647,1.0,-7.0,117.5
73,17.0,2.0,29.0,0.0078431372549019,0.0078431372549019,0.0078431372549019,1.0,-1.5,123.5
74,18.0,2.0,29.0,0.0470588235294117,0.0470588235294117,0.0470588235294117,1.0,1.5,110.5
75,19.0,2.0,29.0,0.0196078431372549,0.0196078431372549,0.0196078431372549,1.0,-6.0,-2.0
76,20.0,2.0,29.0,0.0,0.0,0.0,1.0,-2.5,-1.0
77,21.0,2.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0
78,22.0,2.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0
79,23.0,2.0,29.0,0.0,0.0,0.0,1.0,2.5,13.0
80,24.0,2.0,29.0,0.0196078431372549,0.0196078431372549,0.0196078431372549,1.0,0.0,-1.0
81,25.0,2.0,29.0,0.0,0.0,0.0,1.0,-2.5,5.0
82,26.0,2.0,29.0,0.0,0.0,0.0,1.0,0.0,3.5
83,27.0,2.0,29.0,0.0,0.0,0.0,1.0,0.0,5.5
84,0.0,3.0,29.0,0.0,0.0,0.0,1.0,0.0,-7.0
85,1.0,3.0,29.0,0.0,0.0,0.0,1.0,0.0,5.5
86,2.0,3.0,29.0,0.0,0.0,0.0,1.0,0.0,0.5
87,3.0,3.0,29.0,0.0,0.0,0.0,1.0,4.0,-2.0
88,4.0,3.0,29.0,0.0313725490196078,0.0313725490196078,0.0313725490196078,1.0,0.0,0.0
89,5.0,3.0,29.0,0.0,0.0,0.0,1.0,-1.0,-1.0
90,6.0,3.0,29.0,0.0235294117647058,0.0235294117647058,0.0235294117647058,1.0,3.0,8.0
91,7.0,3.0,29.0,0.0235294117647058,0.0235294117647058,0.0235294117647058,1.0,-3.0,15.0
92,8.0,3.0,29.0,0.0,0.0,0.0,1.0,-3.0,101.0
93,9.0,3.0,29.0,0.0,0.0,0.0,1.0,106.5,122.0
94,10.0,3.0,29.0,0.8352941176470589,0.8352941176470589,0.8352941176470589,1.0,100.5,106.0
95,11.0,3.0,29.0,0.788235294117647,0.788235294117647,0.788235294117647,1.0,21.0,114.0
96,12.0,3.0,29.0,1.0,1.0,1.0,1.0,17.5,118.5
97,13.0,3.0,29.0,0.9254901960784314,0.9254901960784314,0.9254901960784314,1.0,-5.5,108.0
98,14.0,3.0,29.0,0.9568627450980391,0.9568627450980391,0.9568627450980391,1.0,-6.0,-1.5
99,15.0,3.0,29.0,0.8784313725490196,0.8784313725490196,0.8784313725490196,1.0,1.0,108.0
100,16.0,3.0,29.0,0.9647058823529412,0.9647058823529412,0.9647058823529412,1.0,12.5,116.5
101,17.0,3.0,29.0,0.976470588235294,0.976470588235294,0.976470588235294,1.0,-12.5,123.5
102,18.0,3.0,29.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,1.0,-124.5,97.5
103,19.0,3.0,29.0,0.0,0.0,0.0,1.0,-107.5,117.0
104,20.0,3.0,29.0,0.0235294117647058,0.0235294117647058,0.0235294117647058,1.0,0.0,119.0
105,21.0,3.0,29.0,0.0,0.0,0.0,1.0,-3.0,0.0
106,22.0,3.0,29.0,0.0,0.0,0.0,1.0,13.0,0.0
107,23.0,3.0,29.0,0.1019607843137254,0.1019607843137254,0.1019607843137254,1.0,3.5,1.0
108,24.0,3.0,29.0,0.0274509803921568,0.0274509803921568,0.0274509803921568,1.0,-8.0,0.0
109,25.0,3.0,29.0,0.0392156862745098,0.0392156862745098,0.0392156862745098,1.0,0.0,0.0
110,26.0,3.0,29.0,0.0274509803921568,0.0274509803921568,0.0274509803921568,1.0,0.5,0.0
111,27.0,3.0,29.0,0.0431372549019607,0.0431372549019607,0.0431372549019607,1.0,4.0,0.0
112,0.0,4.0,29.0,0.0,0.0,0.0,1.0,11.0,0.0
113,1.0,4.0,29.0,0.0431372549019607,0.0431372549019607,0.0431372549019607,1.0,0.5,0.5
114,2.0,4.0,29.0,0.0039215686274509,0.0039215686274509,0.0039215686274509,1.0,-5.5,6.5
115,3.0,4.0,29.0,0.0,0.0,0.0,1.0,-0.5,11.5
116,4.0,4.0,29.0,0.0,0.0,0.0,1.0,0.0,-4.0
117,5.0,4.0,29.0,0.0,0.0,0.0,1.0,9.5,0.0
118,6.0,4.0,29.0,0.0745098039215686,0.0745098039215686,0.0745098039215686,1.0,15.5,-3.0
119,7.0,4.0,29.0,0.1215686274509803,0.1215686274509803,0.1215686274509803,1.0,91.5,124.5
120,8.0,4.0,29.0,0.792156862745098,0.792156862745098,0.792156862745098,1.0,106.5,119.5
121,9.0,4.0,29.0,0.9568627450980391,0.9568627450980391,0.9568627450980391,1.0,5.0,121.5
122,10.0,4.0,29.0,0.8313725490196079,0.8313725490196079,0.8313725490196079,1.0,-8.0,13.0
123,11.0,4.0,29.0,0.8941176470588236,0.8941176470588236,0.8941176470588236,1.0,14.5,14.5
124,12.0,4.0,29.0,0.9450980392156862,0.9450980392156862,0.9450980392156862,1.0,-6.0,-4.0
125,13.0,4.0,29.0,0.8470588235294118,0.8470588235294118,0.8470588235294118,1.0,0.5,-7.0
126,14.0,4.0,29.0,0.9490196078431372,0.9490196078431372,0.9490196078431372,1.0,8.0,-26.0
127,15.0,4.0,29.0,0.9098039215686274,0.9098039215686274,0.9098039215686274,1.0,3.0,-4.0
