digit,files,size_mb
0,100,5.3065338134765625
1,100,4.8134613037109375
2,100,4.823122024536133
3,100,4.925985336303711
4,100,4.944684982299805
5,100,4.97061824798584
6,100,4.974271774291992
7,100,5.003061294555664
8,100,5.025452613830566
9,100,5.027558326721191
