pixel_id,x,y,t,R,G,B,A,Gx,Gy
0,0.0,0.0,87.0,0.0274509803921568,0.0274509803921568,0.0274509803921568,1.0,-7.0,-1.0
1,1.0,0.0,87.0,0.0,0.0,0.0,1.0,5.0,0.0
2,2.0,0.0,87.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,1.0,6.0,-17.0
3,3.0,0.0,87.0,0.0470588235294117,0.0470588235294117,0.0470588235294117,1.0,-8.5,-12.0
4,4.0,0.0,87.0,0.0,0.0,0.0,1.0,-4.0,0.0
5,5.0,0.0,87.0,0.0156862745098039,0.0156862745098039,0.0156862745098039,1.0,0.0,-3.0
6,6.0,0.0,87.0,0.0,0.0,0.0,1.0,-1.0,0.0
7,7.0,0.0,87.0,0.0078431372549019,0.0078431372549019,0.0078431372549019,1.0,0.0,-2.0
8,8.0,0.0,87.0,0.0,0.0,0.0,1.0,3.5,0.0
9,9.0,0.0,87.0,0.0352941176470588,0.0352941176470588,0.0352941176470588,1.0,0.0,-5.0
10,10.0,0.0,87.0,0.0,0.0,0.0,1.0,-4.5,4.0
11,11.0,0.0,87.0,0.0,0.0,0.0,1.0,1.0,1.0
12,12.0,0.0,87.0,0.0078431372549019,0.0078431372549019,0.0078431372549019,1.0,0.0,-2.0
13,13.0,0.0,87.0,0.0,0.0,0.0,1.0,0.5,0.0
14,14.0,0.0,87.0,0.0117647058823529,0.0117647058823529,0.0117647058823529,1.0,0.0,7.0
15,15.0,0.0,87.0,0.0,0.0,0.0,1.0,3.5,4.0
16,16.0,0.0,87.0,0.0392156862745098,0.0392156862745098,0.0392156862745098,1.0,0.0,2.0
17,17.0,0.0,87.0,0.0,0.0,0.0,1.0,-5.0,0.0
18,18.0,0.0,87.0,0.0,0.0,0.0,1.0,5.0,9.0
19,19.0,0.0,87.0,0.0392156862745098,0.0392156862745098,0.0392156862745098,1.0,0.0,-2.0
20,20.0,0.0,87.0,0.0,0.0,0.0,1.0,-5.0,8.0
21,21.0,0.0,87.0,0.0,0.0,0.0,1.0,1.5,0.0
22,22.0,0.0,87.0,0.0117647058823529,0.0117647058823529,0.0117647058823529,1.0,5.0,-3.0
23,23.0,0.0,87.0,0.0392156862745098,0.0392156862745098,0.0392156862745098,1.0,-1.0,-10.0
24,24.0,0.0,87.0,0.0039215686274509,0.0039215686274509,0.0039215686274509,1.0,-5.0,-1.0
25,25.0,0.0,87.0,0.0,0.0,0.0,1.0,-0.5,0.0
26,26.0,0.0,87.0,0.0,0.0,0.0,1.0,2.5,0.0
27,27.0,0.0,87.0,0.0196078431372549,0.0196078431372549,0.0196078431372549,1.0,5.0,9.0
28,0.0,1.0,87.0,0.0235294117647058,0.0235294117647058,0.0235294117647058,1.0,-6.0,-3.0
29,1.0,1.0,87.0,0.0,0.0,0.0,1.0,-3.0,3.0
30,2.0,1.0,87.0,0.0,0.0,0.0,1.0,0.0,-4.5
31,3.0,1.0,87.0,0.0,0.0,0.0,1.0,0.0,-6.0
32,4.0,1.0,87.0,0.0,0.0,0.0,1.0,0.5,0.0
33,5.0,1.0,87.0,0.0039215686274509,0.0039215686274509,0.0039215686274509,1.0,0.0,-2.0
34,6.0,1.0,87.0,0.0,0.0,0.0,1.0,-0.5,1.0
35,7.0,1.0,87.0,0.0,0.0,0.0,1.0,0.0,-0.5
36,8.0,1.0,87.0,0.0,0.0,0.0,1.0,2.0,2.0
37,9.0,1.0,87.0,0.0156862745098039,0.0156862745098039,0.0156862745098039,1.0,2.0,-4.5
38,10.0,1.0,87.0,0.0156862745098039,0.0156862745098039,0.0156862745098039,1.0,-1.5,0.0
39,11.0,1.0,87.0,0.0039215686274509,0.0039215686274509,0.0039215686274509,1.0,-2.0,0.0
40,12.0,1.0,87.0,0.0,0.0,0.0,1.0,-0.5,-1.0
41,13.0,1.0,87.0,0.0,0.0,0.0,1.0,5.0,0.0
42,14.0,1.0,87.0,0.0392156862745098,0.0392156862745098,0.0392156862745098,1.0,2.0,-1.5
43,15.0,1.0,87.0,0.0156862745098039,0.0156862745098039,0.0156862745098039,1.0,1.0,0.0
44,16.0,1.0,87.0,0.0470588235294117,0.0470588235294117,0.0470588235294117,1.0,-2.0,0.0
45,17.0,1.0,87.0,0.0,0.0,0.0,1.0,-1.5,0.5
46,18.0,1.0,87.0,0.0352941176470588,0.0352941176470588,0.0352941176470588,1.0,4.0,0.0
47,19.0,1.0,87.0,0.0313725490196078,0.0313725490196078,0.0313725490196078,1.0,-0.5,-5.0
48,20.0,1.0,87.0,0.0313725490196078,0.0313725490196078,0.0313725490196078,1.0,-4.0,14.5
49,21.0,1.0,87.0,0.0,0.0,0.0,1.0,-4.0,0.0
50,22.0,1.0,87.0,0.0,0.0,0.0,1.0,0.0,-1.5
51,23.0,1.0,87.0,0.0,0.0,0.0,1.0,0.0,-1.5
52,24.0,1.0,87.0,0.0,0.0,0.0,1.0,0.0,-0.5
53,25.0,1.0,87.0,0.0,0.0,0.0,1.0,0.0,0.0
54,26.0,1.0,87.0,0.0,0.0,0.0,1.0,7.0,5.5
55,27.0,1.0,87.0,0.0549019607843137,0.0549019607843137,0.0549019607843137,1.0,14.0,-2.0
56,0.0,2.0,87.0,0.0039215686274509,0.0039215686274509,0.0039215686274509,1.0,5.0,-0.5
57,1.0,2.0,87.0,0.0235294117647058,0.0235294117647058,0.0235294117647058,1.0,3.5,0.0
58,2.0,2.0,87.0,0.0313725490196078,0.0313725490196078,0.0313725490196078,1.0,-3.0,0.0
59,3.0,2.0,87.0,0.0,0.0,0.0,1.0,-4.0,9.5
60,4.0,2.0,87.0,0.0,0.0,0.0,1.0,0.0,6.5
61,5.0,2.0,87.0,0.0,0.0,0.0,1.0,1.0,-0.5
62,6.0,2.0,87.0,0.0078431372549019,0.0078431372549019,0.0078431372549019,1.0,0.5,0.0
63,7.0,2.0,87.0,0.0039215686274509,0.0039215686274509,0.0039215686274509,1.0,1.0,1.5
64,8.0,2.0,87.0,0.0156862745098039,0.0156862745098039,0.0156862745098039,1.0,-0.5,0.0
65,9.0,2.0,87.0,0.0,0.0,0.0,1.0,-2.0,-2.0
66,10.0,2.0,87.0,0.0,0.0,0.0,1.0,0.0,-2.0
67,11.0,2.0,87.0,0.0,0.0,0.0,1.0,0.0,-0.5
68,12.0,2.0,87.0,0.0,0.0,0.0,1.0,0.0,0.0
69,13.0,2.0,87.0,0.0,0.0,0.0,1.0,0.0,0.0
70,14.0,2.0,87.0,0.0,0.0,0.0,1.0,0.0,-5.0
71,15.0,2.0,87.0,0.0,0.0,0.0,1.0,5.0,-2.0
72,16.0,2.0,87.0,0.0392156862745098,0.0392156862745098,0.0392156862745098,1.0,0.5,-5.0
73,17.0,2.0,87.0,0.0039215686274509,0.0039215686274509,0.0039215686274509,1.0,-5.0,0.0
74,18.0,2.0,87.0,0.0,0.0,0.0,1.0,-0.5,-3.5
75,19.0,2.0,87.0,0.0,0.0,0.0,1.0,14.5,-4.0
76,20.0,2.0,87.0,0.1137254901960784,0.1137254901960784,0.1137254901960784,1.0,0.0,3.0
77,21.0,2.0,87.0,0.0,0.0,0.0,1.0,-14.5,0.0
78,22.0,2.0,87.0,0.0,0.0,0.0,1.0,3.5,4.0
79,23.0,2.0,87.0,0.0274509803921568,0.0274509803921568,0.0274509803921568,1.0,0.0,0.0
80,24.0,2.0,87.0,0.0,0.0,0.0,1.0,-3.5,0.0
81,25.0,2.0,87.0,0.0,0.0,0.0,1.0,5.5,0.0
82,26.0,2.0,87.0,0.0431372549019607,0.0431372549019607,0.0431372549019607,1.0,0.5,0.0
83,27.0,2.0,87.0,0.0039215686274509,0.0039215686274509,0.0039215686274509,1.0,-10.0,-4.5
84,0.0,3.0,87.0,0.0196078431372549,0.0196078431372549,0.0196078431372549,1.0,-5.0,-0.5
85,1.0,3.0,87.0,0.0,0.0,0.0,1.0,-2.5,-1.5
86,2.0,3.0,87.0,0.0,0.0,0.0,1.0,9.5,4.0
87,3.0,3.0,87.0,0.0745098039215686,0.0745098039215686,0.0745098039215686,1.0,6.5,5.5
88,4.0,3.0,87.0,0.0509803921568627,0.0509803921568627,0.0509803921568627,1.0,-9.5,0.0
89,5.0,3.0,87.0,0.0,0.0,0.0,1.0,-6.5,0.0
90,6.0,3.0,87.0,0.0,0.0,0.0,1.0,1.5,-0.5
91,7.0,3.0,87.0,0.0117647058823529,0.0117647058823529,0.0117647058823529,1.0,0.0,7.5
92,8.0,3.0,87.0,0.0,0.0,0.0,1.0,-1.5,0.0
93,9.0,3.0,87.0,0.0,0.0,0.0,1.0,0.0,5.5
94,10.0,3.0,87.0,0.0,0.0,0.0,1.0,0.0,6.5
95,11.0,3.0,87.0,0.0,0.0,0.0,1.0,0.0,0.0
96,12.0,3.0,87.0,0.0,0.0,0.0,1.0,0.0,0.0
97,13.0,3.0,87.0,0.0,0.0,0.0,1.0,0.0,7.5
98,14.0,3.0,87.0,0.0,0.0,0.0,1.0,0.0,3.0
99,15.0,3.0,87.0,0.0,0.0,0.0,1.0,1.0,3.0
100,16.0,3.0,87.0,0.0078431372549019,0.0078431372549019,0.0078431372549019,1.0,0.0,-1.0
101,17.0,3.0,87.0,0.0,0.0,0.0,1.0,0.0,4.0
102,18.0,3.0,87.0,0.0078431372549019,0.0078431372549019,0.0078431372549019,1.0,0.0,1.5
103,19.0,3.0,87.0,0.0,0.0,0.0,1.0,6.0,2.0
104,20.0,3.0,87.0,0.0549019607843137,0.0549019607843137,0.0549019607843137,1.0,0.0,-12.0
105,21.0,3.0,87.0,0.0,0.0,0.0,1.0,-3.0,1.0
106,22.0,3.0,87.0,0.0313725490196078,0.0313725490196078,0.0313725490196078,1.0,0.0,1.5
107,23.0,3.0,87.0,0.0,0.0,0.0,1.0,-4.0,2.0
108,24.0,3.0,87.0,0.0,0.0,0.0,1.0,0.0,0.0
109,25.0,3.0,87.0,0.0,0.0,0.0,1.0,0.0,8.5
110,26.0,3.0,87.0,0.0,0.0,0.0,1.0,2.5,-5.5
111,27.0,3.0,87.0,0.0196078431372549,0.0196078431372549,0.0196078431372549,1.0,5.0,2.5
112,0.0,4.0,87.0,0.0,0.0,0.0,1.0,3.0,-2.5
113,1.0,4.0,87.0,0.0117647058823529,0.0117647058823529,0.0117647058823529,1.0,8.0,1.5
114,2.0,4.0,87.0,0.0627450980392156,0.0627450980392156,0.0627450980392156,1.0,4.0,0.0
115,3.0,4.0,87.0,0.0431372549019607,0.0431372549019607,0.0431372549019607,1.0,-8.0,-9.5
116,4.0,4.0,87.0,0.0,0.0,0.0,1.0,-5.5,-6.5
117,5.0,4.0,87.0,0.0,0.0,0.0,1.0,0.5,5.5
118,6.0,4.0,87.0,0.0039215686274509,0.0039215686274509,0.0039215686274509,1.0,8.0,56.5
119,7.0,4.0,87.0,0.0627450980392156,0.0627450980392156,0.0627450980392156,1.0,1.5,-1.5
120,8.0,4.0,87.0,0.0156862745098039,0.0156862745098039,0.0156862745098039,1.0,-2.5,3.5
121,9.0,4.0,87.0,0.0431372549019607,0.0431372549019607,0.0431372549019607,1.0,4.5,60.0
122,10.0,4.0,87.0,0.0509803921568627,0.0509803921568627,0.0509803921568627,1.0,-5.5,31.0
123,11.0,4.0,87.0,0.0,0.0,0.0,1.0,-6.5,3.0
124,12.0,4.0,87.0,0.0,0.0,0.0,1.0,7.5,0.0
125,13.0,4.0,87.0,0.0588235294117647,0.0588235294117647,0.0588235294117647,1.0,3.0,14.0
126,14.0,4.0,87.0,0.0235294117647058,0.0235294117647058,0.0235294117647058,1.0,-4.5,0.5
127,15.0,4.0,87.0,0.0235294117647058,0.0235294117647058,0.0235294117647058,1.0,1.0,2.5
128,16.0,4.0,87.0,0.0313725490196078,0.0313725490196078,0.0313725490196078,1.0,1.5,1.0
129,17.0,4.0,87.0,0.0352941176470588,0.0352941176470588,0.0352941176470588,1.0,-2.5,1.0
130,18.0,4.0,87.0,0.0117647058823529,0.0117647058823529,0.0117647058823529,1.0,-2.5,100.0
131,19.0,4.0,87.0,0.0156862745098039,0.0156862745098039,0.0156862745098039,1.0,1.0,7.5
132,20.0,4.0,87.0,0.0196078431372549,0.0196078431372549,0.0196078431372549,1.0,-1.0,29.5
133,21.0,4.0,87.0,0.0078431372549019,0.0078431372549019,0.0078431372549019,1.0,-1.0,0.0
134,22.0,4.0,87.0,0.0117647058823529,0.0117647058823529,0.0117647058823529,1.0,4.5,-3.5
135,23.0,4.0,87.0,0.0431372549019607,0.0431372549019607,0.0431372549019607,1.0,-1.5,0.0
136,24.0,4.0,87.0,0.0,0.0,0.0,1.0,3.0,0.0
137,25.0,4.0,87.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,1.0,0.0,1.5
138,26.0,4.0,87.0,0.0,0.0,0.0,1.0,-5.5,0.5
139,27.0,4.0,87.0,0.0235294117647058,0.0235294117647058,0.0235294117647058,1.0,6.0,1.0
140,0.0,5.0,87.0,0.0,0.0,0.0,1.0,3.0,5.0
141,1.0,5.0,87.0,0.0117647058823529,0.0117647058823529,0.0117647058823529,1.0,0.0,-1.5
